Reference, Value, Footprint, Datasheet, Type, library code
"R1","470","Resistor_SMD:R_0805_2012Metric","~","TC0525F4700T5E","C109437"
"R3","470","Resistor_SMD:R_0805_2012Metric","~","TC0525F4700T5E","C109437"
"C3","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"R4","220","Resistor_SMD:R_0805_2012Metric","~","TC0525F220JT5E","C65068"
"R7","100","Resistor_SMD:R_0805_2012Metric","~","0805W8F1000T5E","C17408"
"U4","TL972","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","","TL972IDR","C46127"
"R9","10K","Resistor_SMD:R_0805_2012Metric","~","TC0525D1002T5E","C44791"
"C12","3300pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B332KBANNNC","C53175"
"R8","10K","Resistor_SMD:R_0805_2012Metric","~","TC0525D1002T5E","C44791"
"C11","3300pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B332KBANNNC","C53175"
"R2","47","Resistor_SMD:R_0805_2012Metric","~","0805W8F470JT5E","C17714"
"C9","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"J1","Conn_02x14_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Vertical","~","X6521WV-2x14H-C30D60","C725886"
"C4","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"R6","4.7k","Resistor_SMD:R_0805_2012Metric","~","TC0525D4701T5E","C64354"
"R5","4.7k","Resistor_SMD:R_0805_2012Metric","~","TC0525D4701T5E","C64354"
"Y1","Crystal","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm","~","7M-27.000MEEQ-T",""
"U2","Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","Si5351A-B-GT","C504891"
"C1","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"C2","0.01uF","Capacitor_SMD:C_0805_2012Metric","~","CL21B103KBANNNC","C1710"
"U1","THS4304","Package_TO_SOT_SMD:SOT-23-5","","THS4304DBVT","C128887"
"D1","LED yellow","Diode_SMD:D_0603_1608Metric","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-19-213-Y2C-CQ2R2L-3T-CY_C72038.pdf","19-213/Y2C-CQ2R2L/3T(CY)","C72038"
"R10","62","Resistor_SMD:R_0805_2012Metric","~","TC0525F620JT5E","C61682"
"D2","LED blue","Diode_SMD:D_0603_1608Metric","","19-217/BHC-ZL1M2RY/3T","C72041"
"R11","200","Resistor_SMD:R_0805_2012Metric","~","0805W8F2000T5E","C17540"
"J2","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","B-2100S40P-B110","C124383"
"J3","FC68131","AudioJack:FC68131","","FC68131",""
"L1","INDUCTOR","AudioJack:T94-10","~"
"L2","INDUCTOR","AudioJack:T94-10","~"
"C23","680pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B681KBANNNC","C53150"
"C24","22pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C220JBANNNC","C1804"
"C22","270pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B271KBANNNC","C170120"
"C20","33pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C330JBANNNC","C1814"
"C21","27pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C270JBANNNC","C8031"
"R20","50","Resistor_SMD:R_0805_2012Metric","~","ARG05FTC0500","C2828866"
"C27","680pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B681KBANNNC","C53150"
"C28","22pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C220JBANNNC","C1804"
"C25","33pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C330JBANNNC","C1814"
"C26","27pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C270JBANNNC","C8031"
"L3","INDUCTOR","AudioJack:T94-10","~"
"C31","680pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B681KBANNNC","C53150"
"C32","22pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C220JBANNNC","C1804"
"C29","33pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C330JBANNNC","C1814"
"C30","27pF","Capacitor_SMD:C_0805_2012Metric","~","CL21C270JBANNNC","C8031"
"R21","50","Resistor_SMD:R_0805_2012Metric","~","ARG05FTC0500","C2828866"
"U5","LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","LD1117S33TR",""
"C8","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"C10","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"C6","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"C7","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"U3","TS3A5017","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","TS3A5017DR",""
"C5","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104","C49678"
"C13","100nF","Capacitor_SMD:C_0805_2012Metric","","TAJA104K035RNJ","C7173"
"C14","10uF","Capacitor_SMD:C_0805_2012Metric","","CA45-A-16V-10uF-K","C128254"
"U6","BWSMA-KE-P001","AudioJack:BWSMA-KE-P001","","BWSMA-KE-P001","C496550"
