Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",127.660400,-100.888800,180.000000,top
"C2","0.01uF","C_0805_2012Metric",135.280400,-104.698800,180.000000,top
"C3","0.1uF","C_0805_2012Metric",127.660400,-105.968800,0.000000,top
"C4","0.1uF","C_0805_2012Metric",154.101800,-81.064100,180.000000,top
"C5","0.1uF","C_0805_2012Metric",123.850400,-99.618800,180.000000,top
"C6","0.1uF","C_0805_2012Metric",122.580400,-93.268800,180.000000,top
"C7","0.1uF","C_0805_2012Metric",122.580400,-90.728800,180.000000,top
"C8","0.1uF","C_0805_2012Metric",122.580400,-88.188800,180.000000,top
"C9","0.1uF","C_0805_2012Metric",121.310400,-85.648800,180.000000,top
"C10","0.1uF","C_0805_2012Metric",122.580400,-95.808800,180.000000,top
"C11","3300pF","C_0805_2012Metric",131.470400,-83.108800,90.000000,top
"C12","3300pF","C_0805_2012Metric",134.010400,-78.028800,270.000000,top
"C13","100nF","C_0805_2012Metric",131.013200,-127.165100,270.000000,top
"C14","10uF","C_0805_2012Metric",131.140200,-131.483100,270.000000,top
"C20","33pF","C_0805_2012Metric",145.148300,-116.281200,180.000000,top
"C21","27pF","C_0805_2012Metric",145.087300,-113.868200,180.000000,top
"C22","270pF","C_0805_2012Metric",147.116800,-104.025700,270.000000,top
"C23","680pF","C_0805_2012Metric",141.465300,-116.281200,180.000000,top
"C24","22pF","C_0805_2012Metric",141.465300,-113.868200,180.000000,top
"C25","33pF","C_0805_2012Metric",142.115500,-122.161300,180.000000,top
"C26","27pF","C_0805_2012Metric",142.115500,-119.621300,180.000000,top
"C27","680pF","C_0805_2012Metric",138.493500,-122.161300,180.000000,top
"C28","22pF","C_0805_2012Metric",138.493500,-119.621300,180.000000,top
"C29","33pF","C_0805_2012Metric",129.565400,-120.904000,90.000000,top
"C30","27pF","C_0805_2012Metric",127.279400,-120.904000,90.000000,top
"C31","680pF","C_0805_2012Metric",129.565400,-117.348000,90.000000,top
"C32","22pF","C_0805_2012Metric",127.279400,-117.348000,90.000000,top
"D1","LED yellow","D_0603_1608Metric",121.640600,-109.575600,90.000000,top
"D2","LED blue","D_0603_1608Metric",160.845500,-80.619600,90.000000,top
"J1","Conn_02x14_Odd_Even","PinHeader_2x14_P2.54mm_Vertical",141.630400,-111.048800,180.000000,top
"L1","INDUCTOR","T94-10",158.953200,-99.428300,270.000000,top
"L2","INDUCTOR","T94-10",158.343600,-117.716300,270.000000,top
"L3","INDUCTOR","T94-10",143.027400,-133.362700,180.000000,top
"R1","470","R_0805_2012Metric",131.470400,-100.888800,0.000000,top
"R2","47","R_0805_2012Metric",127.660400,-103.428800,180.000000,top
"R3","470","R_0805_2012Metric",135.280400,-102.158800,0.000000,top
"R4","220","R_0805_2012Metric",131.470400,-108.508800,90.000000,top
"R5","4.7k","R_0805_2012Metric",154.101800,-86.144100,0.000000,top
"R6","4.7k","R_0805_2012Metric",154.101800,-83.604100,0.000000,top
"R7","100","R_0805_2012Metric",135.280400,-107.238800,180.000000,top
"R8","10K","R_0805_2012Metric",134.010400,-83.108800,90.000000,top
"R9","10K","R_0805_2012Metric",131.470400,-78.028800,270.000000,top
"R10","62","R_0805_2012Metric",124.180600,-109.575600,90.000000,top
"R11","200","R_0805_2012Metric",160.845500,-76.809600,270.000000,top
"R20","50","R_0805_2012Metric",144.729200,-104.000300,270.000000,top
"R21","50","R_0805_2012Metric",132.588000,-114.401600,270.000000,top
"U1","THS4304","SOT-23-5",131.470400,-104.698800,180.000000,top
"U2","Si5351A-B-GT","MSOP-10_3x3mm_P0.5mm",149.021800,-86.144100,180.000000,top
"U3","TS3A5017","SOIC-16_3.9x9.9mm_P1.27mm",128.930400,-93.268800,180.000000,top
"U4","TL972","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",123.850400,-81.838800,180.000000,top
"U5","LD1117S33TR_SOT223","SOT-223-3_TabPin2",124.536200,-129.197100,180.000000,top
"U6","BWSMA-KE-P001","BWSMA-KE-P001",157.175200,-143.840200,270.000000,top
"Y1","Crystal","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",149.021800,-81.064100,0.000000,top
