Designator,Footprint,Mid X   , Mid Y ,Rotation Comment 
C1,C_0805_2012Metric,127.6604,-100.8888,180
C2,C_0805_2012Metric,135.2804,-104.6988,180
C3,C_0805_2012Metric,127.6604,-105.9688,0
C4,C_0805_2012Metric,156.21905,-88.84325,0
C5,C_0805_2012Metric,123.8504,-99.6188,180
C6,C_0805_2012Metric,122.5804,-93.2688,180
C7,C_0805_2012Metric,122.5804,-90.7288,180
C8,C_0805_2012Metric,122.5804,-88.1888,180
C9,C_0805_2012Metric,121.3104,-85.6488,180
C10,C_0805_2012Metric,122.5804,-95.8088,180
C11,C_0805_2012Metric,129.6301,-83.3624,90
C12,C_0805_2012Metric,134.0104,-78.0288,-90
C13,C_0805_2012Metric,122.72905,-134.97325,-90
C14,C_0805_2012Metric,122.78905,-130.58325,90
C20,C_0805_2012Metric,145.1483,-116.2812,180
C21,C_0805_2012Metric,145.0873,-113.8682,180
C22,C_0805_2012Metric,148.0701,-107.7824,-90
C23,C_0805_2012Metric,141.4653,-116.2812,180
C24,C_0805_2012Metric,141.4653,-113.8682,180
C25,C_0805_2012Metric,145.02905,-122.8245,180
C26,C_0805_2012Metric,145.02905,-120.2845,180
C27,C_0805_2012Metric,141.40705,-122.8245,180
C28,C_0805_2012Metric,141.40705,-120.2845,180
C29,C_0805_2012Metric,130.7701,-120.904,90
C30,C_0805_2012Metric,128.4841,-120.904,90
C31,C_0805_2012Metric,130.7701,-117.348,90
C32,C_0805_2012Metric,128.4841,-117.348,90
CLK0_TP4,TestPoint_Keystone_5000-5004_Miniature,146.1701,-91.7824,0
CLK1_TP5,TestPoint_Keystone_5000-5004_Miniature,146.1701,-86.7664,0
D1,D_0603_1608Metric,123.03905,-103.76325,-90
D2,D_0603_1608Metric,160.8455,-80.6196,90
GND_TP0,TestPoint_Bridge_Pitch7.62mm_Drill1.3mm,147.7701,-77.7824,0
Iout_TP6,TestPoint_Keystone_5000-5004_Miniature,117.1321,-64.9224,0
J1,PinHeader_2x14_P2.54mm_Vertical,141.6304,-111.0488,180
J2,PinHeader_2x20_P2.54mm_Vertical,117.4877,-134.9502,180
J3,FC68131,133.6294,-62.9158,-90
J4,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",154.1701,-101.3524,90
J5,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",154.1701,-119.7524,90
J6,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",141.6301,-128.5824,0
Qout_TP7,TestPoint_Keystone_5000-5004_Miniature,117.1321,-70.2564,0
R1,R_0805_2012Metric,131.4704,-100.8888,0
R2,R_0805_2012Metric,127.6604,-103.4288,180
R3,R_0805_2012Metric,135.2804,-102.1588,0
R4,R_0805_2012Metric,131.4704,-108.5088,90
R5,R_0805_2012Metric,153.406833,-91.188867,0
R6,R_0805_2012Metric,150.13905,-93.32325,-90
R7,R_0805_2012Metric,135.2804,-107.2388,180
R8,R_0805_2012Metric,132.1701,-83.3824,90
R9,R_0805_2012Metric,131.4704,-78.0288,-90
R10,R_0805_2012Metric,123.0701,-107.7824,90
R11,R_0805_2012Metric,160.8455,-76.8096,-90
R20,R_0805_2012Metric,145.3701,-107.7624,-90
R21,R_0805_2012Metric,133.8748,-117.2824,-90
RFIN_TP7,TestPoint_Keystone_5000-5004_Miniature,127.7701,-111.8824,-90
RFOUT_TP8,TestPoint_Keystone_5000-5004_Miniature,146.2701,-101.7824,0
SCL_TP2,TestPoint_Keystone_5000-5004_Miniature,156.1701,-93.8824,0
SDA_TP3,TestPoint_Keystone_5000-5004_Miniature,146.1701,-96.4824,0
U1,SOT-23-5,131.4704,-104.6988,180
U2,MSOP-10_3x3mm_P0.5mm,151.6761,-85.6193,180
U3,SOIC-16_3.9x9.9mm_P1.27mm,128.9304,-93.2688,180
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,123.8504,-81.8388,180
U5,SOT-223-3_TabPin2,128.56905,-131.74325,0
U6,BWSMA-KE-P001,152.0701,-146.4824,90
XA_TP1,TestPoint_Keystone_5000-5004_Miniature,161.3701,-91.0824,0
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,157.7721,-85.3653,0
