"Reference","Value","Footprint"
"C1","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C2","0.01uF","Capacitor_SMD:C_0805_2012Metric"
"C3","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C4","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C5","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C6","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C7","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C8","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C9","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C10","0.1uF","Capacitor_SMD:C_0805_2012Metric"
"C11","3300pF","Capacitor_SMD:C_0805_2012Metric"
"C12","3300pF","Capacitor_SMD:C_0805_2012Metric"
"C13","100nF","Capacitor_SMD:C_0805_2012Metric"
"C14","10uF","Capacitor_SMD:C_0805_2012Metric"
"C20","33pF","Capacitor_SMD:C_0805_2012Metric"
"C21","27pF","Capacitor_SMD:C_0805_2012Metric"
"C22","270pF","Capacitor_SMD:C_0805_2012Metric"
"C23","680pF","Capacitor_SMD:C_0805_2012Metric"
"C24","22pF","Capacitor_SMD:C_0805_2012Metric"
"C25","33pF","Capacitor_SMD:C_0805_2012Metric"
"C26","27pF","Capacitor_SMD:C_0805_2012Metric"
"C27","680pF","Capacitor_SMD:C_0805_2012Metric"
"C28","22pF","Capacitor_SMD:C_0805_2012Metric"
"C29","33pF","Capacitor_SMD:C_0805_2012Metric"
"C30","27pF","Capacitor_SMD:C_0805_2012Metric"
"C31","680pF","Capacitor_SMD:C_0805_2012Metric"
"C32","22pF","Capacitor_SMD:C_0805_2012Metric"
"CLK0_TP4","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"CLK1_TP5","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"D1","LED yellow","Diode_SMD:D_0603_1608Metric"
"D2","LED blue","Diode_SMD:D_0603_1608Metric"
"GND_TP0","GND BRIDGE","TestPoint:TestPoint_Bridge_Pitch7.62mm_Drill1.3mm"
"Iout_TP6","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"J1","Conn_02x14_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Vertical"
"J2","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical"
"J3","FC68131","AudioJack:FC68131"
"J4","Inductor L1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal"
"J5","Inductor L2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal"
"J6","Inductor L3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal"
"Qout_TP7","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"R1","470","Resistor_SMD:R_0805_2012Metric"
"R2","47","Resistor_SMD:R_0805_2012Metric"
"R3","470","Resistor_SMD:R_0805_2012Metric"
"R4","220","Resistor_SMD:R_0805_2012Metric"
"R5","4.7k","Resistor_SMD:R_0805_2012Metric"
"R6","4.7k","Resistor_SMD:R_0805_2012Metric"
"R7","100","Resistor_SMD:R_0805_2012Metric"
"R8","10K","Resistor_SMD:R_0805_2012Metric"
"R9","10K","Resistor_SMD:R_0805_2012Metric"
"R10","62","Resistor_SMD:R_0805_2012Metric"
"R11","200","Resistor_SMD:R_0805_2012Metric"
"R20","50","Resistor_SMD:R_0805_2012Metric"
"R21","50","Resistor_SMD:R_0805_2012Metric"
"RFIN_TP7","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"RFOUT_TP8","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"SCL_TP2","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"SDA_TP3","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"U1","THS4304","Package_TO_SOT_SMD:SOT-23-5"
"U2","Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm"
"U3","TS3A5017","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm"
"U4","TL972","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm"
"U5","LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U6","BWSMA-KE-P001","BWSMA-KE-P001:BWSMA-KE-P001"
"XA_TP1","TestPoint_Small","TestPoint:TestPoint_Keystone_5000-5004_Miniature"
"Y1","Crystal","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm"
